#     time conns tot_conn  tot_req      tot_bytes    err  cps  rps  Bps  bps   ttfb   ttlb 1xx 2xx 3xx 4xx 5xx
1786183229   700      700   508076       71638716      0 700. 508k 71M6 573M 1.368m 1.368m   0 508076   0   0   0 
1786183230   700      700  1011719      142652379      0 0.00 503k 70M9 567M 1.390m 1.390m   0 503643   0   0   0 
1786183231   700      700  1516895      213882195      0 0.00 504k 71M1 569M 1.386m 1.386m   0 505176   0   0   0 
1786183232   700      700  2021623      285048843      0 0.00 504k 71M0 568M 1.387m 1.387m   0 504728   0   0   0 
1786183233   700      700  2525799      356137659      0 0.00 503k 71M0 568M 1.388m 1.388m   0 504176   0   0   0 
1786183234   700      878  3030155      427250965      0 177. 503k 71M0 568M 1.389m 1.389m   0 504356   0   0   0 
1786183235   700      985  3536632      498663828      0 106. 505k 71M3 570M 1.382m 1.382m   0 506477   0   0   0 
1786183236   700     1177  4042624      570007599      0 191. 505k 71M2 570M 1.383m 1.383m   0 505992   0   0   0 
1786183237   700     1297  4547807      641237802      0 119. 504k 71M1 569M 1.385m 1.385m   0 505183   0   0   0 
1786183238   700     1435  5049880      712029546      0 138. 502k 70M7 566M 1.390m 1.390m   0 502074   0   0   0 
1786183239   700     1483  5554935      783241920      0 47.9 504k 71M1 569M 1.388m 1.388m   0 505054   0   0   0 
1786183240   700     1546  6061584      854679114      0 62.9 506k 71M3 570M 1.381m 1.381m   0 506649   0   0   0 
1786183241   700     1660  6566288      925841808      0 113. 504k 71M0 568M 1.387m 1.387m   0 504704   0   0   0 
1786183242   700     1720  7068366      996634506      0 59.9 501k 70M7 565M 1.395m 1.395m   0 502078   0   0   0 
1786183243   700     1855  7570376     1067417382      0 134. 501k 70M7 565M 1.393m 1.393m   0 502010   0   0   0 
1786183244   700     1975  8074664     1138521249      0 119. 503k 71M0 568M 1.388m 1.388m   0 504288   0   0   0 
1786183245   700     2104  8575605     1209153285      0 128. 500k 70M5 564M 1.395m 1.395m   0 500941   0   0   0 
1786183246   700     2170  9008723     1270222593      0 65.9 432k 61M0 488M 1.614m 1.614m   0 433118   0   0   0 
1786183247   700     2231  9340892     1317058117      0 60.9 331k 46M7 374M 2.105m 2.105m   0 332169   0   0   0 
1786183248   700     2285  9700863     1367813758      0 53.9 359k 50M7 405M 1.946m 1.946m   0 359971   0   0   0 
1786183249   700     2356 10110901     1425628761      0 70.9 409k 57M7 462M 1.713m 1.713m   0 410038   0   0   0 
1786183250   700     2440 10616729     1496950089      0 83.9 505k 71M2 570M 1.386m 1.386m   0 505828   0   0   0 
1786183251   700     2567 11119278     1567809004      0 127. 502k 70M8 566M 1.390m 1.390m   0 502550   0   0   0 
1786183252   700     2677 11622037     1638697332      0 109. 502k 70M8 566M 1.393m 1.393m   0 502758   0   0   0 
1786183253   700     2804 12124010     1709474890      0 126. 501k 70M7 565M 1.394m 1.394m   0 501973   0   0   0 
1786183254   700     2900 12624578     1780054498      0 95.9 500k 70M5 564M 1.398m 1.398m   0 500568   0   0   0 
1786183255   700     2982 13126558     1850833268      0 82.0 501k 70M7 566M 1.393m 1.393m   0 501980   0   0   0 
1786183256   700     3037 13480874     1900791549      0 54.9 353k 49M9 399M 1.973m 1.973m   0 354316   0   0   0 
1786183257   700     3106 13830007     1950019098      0 68.9 348k 49M1 393M 2.000m 2.000m   0 349133   0   0   0 
1786183258   700     3185 14247476     2008881691      0 78.9 417k 58M8 470M 1.683m 1.683m   0 417469   0   0   0 
1786183259   700     3273 14752166     2080042682      0 87.9 504k 71M0 568M 1.385m 1.385m   0 504691   0   0   0 
1786183260   700     3412 15255490     2151010530      0 138. 502k 70M8 567M 1.391m 1.391m   0 503323   0   0   0 
1786183261   700     3525 15759500     2222075516      0 112. 503k 70M9 567M 1.390m 1.390m   0 504011   0   0   0 
1786183262   700     3628 16261776     2292895776      0 102. 501k 70M7 565M 1.394m 1.394m   0 502275   0   0   0 
1786183263   700     3708 16765049     2363856869      0 80.0 503k 70M9 567M 1.388m 1.388m   0 503273   0   0   0 
1786183264   700     3797 17267797     2434743892      0 88.9 502k 70M8 566M 1.391m 1.391m   0 502748   0   0   0 
1786183265   700     3897 17769503     2505483938      0 99.9 501k 70M6 565M 1.396m 1.396m   0 501706   0   0   0 
1786183266   700     4003 18270734     2576156979      0 105. 500k 70M6 564M 1.396m 1.396m   0 501231   0   0   0 
1786183267   700     4120 18771468     2646759888      0 116. 500k 70M5 564M 1.396m 1.396m   0 500734   0   0   0 
1786183268   700     4213 19273529     2717550024      0 92.9 501k 70M7 565M 1.394m 1.394m   0 502061   0   0   0 
1786183269   700     4306 19775972     2788394022      0 92.9 501k 70M7 566M 1.393m 1.393m   0 502443   0   0   0 
1786183270   700     4414 20279026     2859324096      0 107. 502k 70M8 566M 1.393m 1.393m   0 503054   0   0   0 
1786183271   700     4521 20779441     2929882076      0 106. 499k 70M4 563M 1.399m 1.399m   0 500415   0   0   0 
1786183272   700     4611 21278745     3000283490      0 89.9 498k 70M3 562M 1.403m 1.403m   0 499304   0   0   0 
1786183273   700     4714 21785407     3071722317      0 102. 506k 71M3 570M 1.381m 1.381m   0 506662   0   0   0 
1786183274   700     4805 22289384     3142782619      0 91.0 503k 71M0 568M 1.386m 1.386m   0 503977   0   0   0 
1786183275   700     4903 22793868     3213914373      0 97.9 503k 71M0 568M 1.386m 1.386m   0 504484   0   0   0 
1786183276   700     5006 23297716     3284956426      0 102. 503k 70M9 567M 1.391m 1.391m   0 503848   0   0   0 
1786183277   700     5105 23800764     3355885699      0 98.9 502k 70M8 566M 1.391m 1.391m   0 503048   0   0   0 
1786183278   700     5221 24306779     3427233234      0 115. 505k 71M2 570M 1.383m 1.383m   0 506015   0   0   0 
1786183279   700     5329 24809454     3498109869      0 107. 502k 70M8 566M 1.393m 1.393m   0 502675   0   0   0 
1786183280   700     5412 25315429     3569451929      0 82.9 505k 71M2 570M 1.383m 1.383m   0 505975   0   0   0 
1786183281   700     5504 25821367     3640788727      0 91.9 505k 71M2 570M 1.383m 1.383m   0 505938   0   0   0 
1786183282   700     5612 26326290     3711982330      0 107. 504k 71M1 568M 1.386m 1.386m   0 504923   0   0   0 
1786183283   700     5709 26828742     3782827577      0 96.9 501k 70M7 566M 1.392m 1.392m   0 502452   0   0   0 
1786183284   700     5816 27327770     3853189990      0 106. 498k 70M2 562M 1.403m 1.403m   0 499028   0   0   0 
1786183285   700     5919 27829459     3923927624      0 103. 501k 70M7 565M 1.393m 1.393m   0 501689   0   0   0 
1786183286   700     6018 28332117     3994801907      0 98.9 502k 70M8 566M 1.392m 1.392m   0 502658   0   0   0 
1786183287   700     6126 28834667     4065660917      0 107. 502k 70M7 566M 1.391m 1.391m   0 502550   0   0   0 
1786183288   700     6212 29321991     4134373171      0 85.9 486k 68M6 549M 1.431m 1.431m   0 487324   0   0   0 
1786183289   700     6213 29323576     4134596651      0 999m 1k58 223k 1M78    -      -     0 1585   0   0   0 
1786183290   700     6213 29323576     4134596651      0 0.00 0.00 0.00 0.00    -      -     0   0   0   0   0 
#======= Percentiles for time-to-first-byte and time-to-last-byte =======
# use $3:$5 $3:$7 with logscale X
# $1     $2      $3         $4       $5         $6       $7
#pctl   tail   invtail   ttfbcnt ttfb(ms)   ttlbcnt ttlb(ms)
10      90     1         2921977      0.4   2921971      0.4
20      80     1         5862349     0.53   5862342     0.53
30      70     1         8778270    0.618   8778260    0.618
40      60     2        11722668    0.709  11722655    0.709
50      50     2        14655989    0.798  14655977    0.798
55      45     2        16103518     0.84  16103506     0.84
60      40     3        17561343    0.884  17561330    0.884
65      35     3        19043183    0.941  19043169    0.941
70      30     3        20506400    1.014  20506390    1.014
75      25     4        21985967    1.099  21985955    1.099
80      20     5        23447877    1.233  23447867    1.233
82      18     6        24037222    1.326  24037214    1.326
84      16     6        24624995    1.486  24624990    1.486
86      14     7        25209016     4.32  25209012     4.32
88      12     8        25796618    4.608  25796615    4.608
90      10     10       26374777    4.744  26374773    4.744
91      9      11       26669442    4.804  26669438    4.804
92      8      13       26960016    4.856  26960015    4.856
93      7      14       27260169    4.908  27260167    4.908
94      6      17       27554922    4.976  27554920    4.976
95      5      20       27840612    5.056  27840609    5.056
95.5    4.5    22       27992365      5.1  27992363      5.1
96      4      25       28134412    5.148  28134411    5.148
96.5    3.5    29       28289619    5.208  28289618    5.208
97      3      33       28430376    5.276  28430376    5.276
97.5    2.5    40       28578172    5.368  28578171    5.368
98      2      50       28726556    5.496  28726555    5.496
98.5    1.5    67       28876001    7.052  28876001    7.052
99      1      100      29020126    8.576  29020126    8.576
99.1    0.9    111      29051034    8.632  29051034    8.632
99.2    0.8    125      29079896    8.744  29079896    8.744
99.3    0.7    143      29109776    8.888  29109776    8.888
99.4    0.6    167      29138662    9.048  29138662    9.048
99.5    0.5    200      29168568    9.272  29168568    9.272
99.55   0.45   222      29183816    9.888  29183816    9.888
99.6    0.4    250      29198501   11.824  29198501   11.824
99.65   0.35   286      29213064   12.232  29213064   12.232
99.7    0.3    333      29226583   12.496  29226583   12.496
99.75   0.25   400      29241391   12.552  29241391   12.552
99.8    0.2    500      29254754   12.584  29254754   12.584
99.85   0.15   667      29271624    12.64  29271624    12.64
99.9    0.1    1000     29286284   13.056  29286284   13.056
99.91   0.09   1111     29289012   13.088  29289012   13.088
99.92   0.08   1250     29292117   13.128  29292117   13.128
99.93   0.07   1429     29295021   13.176  29295021   13.176
99.94   0.06   1667     29298173   13.592  29298173   13.592
99.95   0.05   2000     29301097   15.624  29301097   15.624
99.96   0.04   2500     29303994    16.16  29303994    16.16
99.965  0.035  2857     29305459   16.368  29305459   16.368
99.97   0.03   3333     29306776   16.528  29306776   16.528
99.975  0.025  4000     29308399   16.624  29308399   16.624
99.98   0.02   5000     29309889   16.992  29309889   16.992
99.985  0.015  6667     29311351    19.28  29311351    19.28
99.99   0.01   10000    29312593    20.16  29312593    20.16
99.995  0.005  20000    29314250   20.496  29314250   20.496
99.996  0.004  25000    29314580   20.624  29314580   20.624
99.9965 0.0035 28571    29314752   20.672  29314752   20.672
99.997  0.003  33333    29314895   20.848  29314895   20.848
99.9975 0.0025 40000    29315045   20.992  29315045   20.992
99.998  0.002  50000    29315189   21.248  29315189   21.248
99.9985 0.0015 66667    29315336   24.048  29315336   24.048
99.999  0.001  100000   29315471   24.352  29315471   24.352
99.9995 0.0005 200000   29315627   24.672  29315627   24.672
99.9999 0.0001 1000000  29315748   28.384  29315748   28.384
